"uuid","void/retire","data class","data type","fully specified name:en","short name:en","short name:en_GB","synonym 1:en","synonym 2:en","synonym 3:en","synonym 4:en","synonym 5:en","synonym 6:en","synonym 7:en","synonym 8:en","description:en","mappings|SAME-AS|PIH Malawi","mappings|NARROWER-THAN|Malawi HMIS Outpatient Indicators","mappings|NARROWER-THAN|SPINE Coded answers","mappings|NARROWER-THAN|SPINE","mappings|SAME-AS|PIH","mappings|SAME-AS|CIEL","mappings|SAME-AS|SNOMED CT","mappings|NARROWER-THAN|SNOMED NP","mappings|SAME-AS|AMPATH","mappings|NARROWER-THAN|SNOMED CT","mappings|SAME-AS|org.openmrs.module.emrapi","absolute high","critical high","normal high","absolute low","critical low","normal low","allow decimals","units","display precision"
"655a6bda-977f-11e1-8993-905e29aff6c1","true","Question","Coded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6568ae16-977f-11e1-8993-905e29aff6c1","true","ConvSet","N/A",,,,"Co-trimoxazole change construct",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6568b028-977f-11e1-8993-905e29aff6c1","true","ConvSet","N/A",,,,"Fluconazole change construct",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"656c341e-977f-11e1-8993-905e29aff6c1","true","Anatomy","Boolean",,,,,,,,,,,,"CD4 Percentage",,,,,,,,,,,,,,,,,,,,
"656fc78c-977f-11e1-8993-905e29aff6c1","true","Program","N/A",,,,"Antiretroviral treatment program","ART program",,,,,,,"This covers patients who are assigned to an ART program.",,,,,,,,,,,,,,,,,,,,
"656fc89a-977f-11e1-8993-905e29aff6c1","true","Program","N/A",,"Pre-ART program","Pre-ART program","Pre-antiretroviral program",,,,,,,,"This program is for patients who are HIV positive, but have not started ARVs.",,,,,,,,,,,,,,,,,,,,
"65717794-977f-11e1-8993-905e29aff6c1","true","Diagnosis","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6578b3a6-977f-11e1-8993-905e29aff6c1",,"Diagnosis","Numeric","""other haematological condition"",",,,,,,,,,,,,"7777",,,,,,,,,,,,,,,,,"false","",
"d5930c3a-cb57-11e5-9956-625662870761",,"Drug","N/A","0A: ABC/3TC + NVP",,,,,,,,,,,,"8499",,,,,,,,,,,,,,,,,,,
"d59315a4-cb57-11e5-9956-625662870761",,"Drug","N/A","0P: ABC/3TC + NVP",,,,,,,,,,,,"8500",,,,,,,,,,,,,,,,,,,
"65684a48-977f-11e1-8993-905e29aff6c1",,"Finding","Numeric","1",,,,,,,,,,,"grading system, describing degree of finding","3885",,,,,,,,,,,,,,,,,"false","",
"657991e0-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","1 month",,,,,,,,,,,,"7970",,,,,,,,,,,,,,,,,,,
"6574fc2a-977f-11e1-8993-905e29aff6c1",,"Finding","N/A","1 plus","1+","1+",,,,,,,,,,"7129",,,,,,,,,,,,,,,,,,,
"655efe5c-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","1-2 times/wk",,,,,,,,,,,,"2402",,,,,,,,,,,,,,,,,,,
"655d3e96-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","1-2 weeks ago",,,,,,,,,,,"1-2 weeks ago","2103",,,,,,,,,,,,,,,,,,,
"655f0884-977f-11e1-8993-905e29aff6c1",,"Misc","N/A","1-3 times/mo",,,,,,,,,,,,"2403",,,,,,,,,,,,,,,,,,,
"7ebc782a-baa2-11e6-91a8-5622a9e78e10",,"Drug","N/A","10A: TDF / 3TC + LPV/r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8bb7294e-baa2-11e6-91a8-5622a9e78e10",,"Drug","N/A","11A: AZT / 3TC + LPV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91bcdad2-baa2-11e6-91a8-5622a9e78e10",,"Drug","N/A","11P: AZT / 3TC + LPV/r (previous AZT3TCLPV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ec5edf44-a088-4117-8a05-b23b018ec075",,"Drug","N/A","11PA: AZT 300 / 3TC 150 + LPV/r 100/25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"98ec6848-15bf-41ef-b844-5a16d7dbb0f8",,"Drug","N/A","11PP: AZT 60 / 3TC 30 + LPV/r 100/25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43b86ce6-dc3f-11e8-9f8b-f2801f1b9fd1",,"Drug","N/A","12A: DRV + r + DTG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"007f685d-bb78-4f16-91c4-073aa8107943",,"Drug","N/A","12PA: DRV 150 + r 50 + DTG 50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
