concept,member,sort weight,member type
Abdominal exam findings,Ascites,227,q-and-a
Abdominal exam findings,Normal,228,q-and-a
Abdominal exam findings,Abnormal,229,q-and-a
Abdominal exam findings,Hepatomegaly,230,q-and-a
Abdominal exam findings,Splenomegaly,231,q-and-a
Abdominal exam findings,"Mass, abdominal",232,q-and-a
Abdominal exam findings,Abdominal tenderness,233,q-and-a
Abdominal exam findings,Abundant,4380,q-and-a
Abdominal exam findings,Moderate,4381,q-and-a
Abdominal exam findings,Light,4382,q-and-a
Abdominal exam findings,No presence of ascites,4383,q-and-a
Abdominal exam findings,Other non-coded,4384,q-and-a
Abdominal exam findings,Soft abdomen,4385,q-and-a
Abdominal exam findings,Pulsatile,4386,q-and-a
Abdominal exam findings,No presence of splenomegaly,4387,q-and-a
Abdominal exam findings,No presence of hepatomegaly,4388,q-and-a
Abdominal exam findings,No abdominal tenderness,4389,q-and-a
Abdominal exam findings,Left upper quadrant,4390,q-and-a
Abdominal exam findings,Left lower quadrant,4391,q-and-a
Abdominal exam findings,Right lower quadrant,4392,q-and-a
Abdominal exam findings,Right upper quadrant,4393,q-and-a
Abdominal ultrasound,Test requested,8537,q-and-a
Abdominal ultrasound,Result available,8538,q-and-a
Able to perform daily activities,Yes,1,q-and-a
Able to perform daily activities,No,2,q-and-a
Absence seizures,Yes,1,q-and-a
Absence seizures,No,2,q-and-a
Access to bicycle,Yes,1,q-and-a
Access to bicycle,No,2,q-and-a
Accompagnateur assignment status,Requires new accompagnateur,4951,q-and-a
Accompagnateur assignment status,Assigned accompagnateur already,4952,q-and-a
Accompagnateur brought patient,No,4878,q-and-a
Accompagnateur brought patient,Yes,4879,q-and-a
Accompagnateur helps deal with the difficulties of HIV better than on your own,Strongly agree,2192,q-and-a
Accompagnateur helps deal with the difficulties of HIV better than on your own,Agree,2193,q-and-a
Accompagnateur helps deal with the difficulties of HIV better than on your own,Disagree,2194,q-and-a
Accompagnateur helps deal with the difficulties of HIV better than on your own,Strongly disagree,2195,q-and-a
Accompagnateur helps deal with the difficulties of HIV better than on your own,Did NOT answer,2605,q-and-a
Accompagnateur helps deal with the difficulties of HIV better than on your own,Unknown,2708,q-and-a
Accompagnateur helps deal with the difficulties of HIV better than on your own,No,4908,q-and-a
Accompagnateur helps deal with the difficulties of HIV better than on your own,I don't know,4909,q-and-a
Accompagnateur helps deal with the difficulties of HIV better than on your own,Yes,4910,q-and-a
Accompagnateur helps you take medicine more regularly than on your own,Strongly agree,2200,q-and-a
Accompagnateur helps you take medicine more regularly than on your own,Agree,2201,q-and-a
Accompagnateur helps you take medicine more regularly than on your own,Disagree,2202,q-and-a
Accompagnateur helps you take medicine more regularly than on your own,Strongly disagree,2203,q-and-a
Accompagnateur helps you take medicine more regularly than on your own,Did NOT answer,2604,q-and-a
Accompagnateur helps you take medicine more regularly than on your own,Unknown,2707,q-and-a
Accompagnateur helps you take medicine more regularly than on your own,No,4899,q-and-a
Accompagnateur helps you take medicine more regularly than on your own,I don't know,4900,q-and-a
Accompagnateur helps you take medicine more regularly than on your own,Yes,4901,q-and-a
Accompagnateur present at encounter,No,4897,q-and-a
Accompagnateur present at encounter,Yes,4898,q-and-a
Accompagnateur report of average weekly missed doses,Once a week (QWK),3583,q-and-a
Accompagnateur report of average weekly missed doses,4 to 5 times a week,3584,q-and-a
Accompagnateur report of average weekly missed doses,Every day,3585,q-and-a
Accompagnateur report of average weekly missed doses,2 to 3 times a week,3586,q-and-a
Accompagnateur report of average weekly missed doses,Less than once a week,3587,q-and-a
Accompagnateur report of average weekly missed doses,Never,3588,q-and-a
Accompagnateur report of last missed dose,3-4 weeks ago,3589,q-and-a
Accompagnateur report of last missed dose,Between 1 and 3 months ago,3590,q-and-a
Accompagnateur report of last missed dose,1-2 weeks ago,3591,q-and-a
Accompagnateur report of last missed dose,More than 3 months ago,3592,q-and-a
Accompagnateur report of last missed dose,Within the past week,3593,q-and-a
Accompagnateur report of last missed dose,Never,3594,q-and-a
Ace I/saltan,No,8659,q-and-a
Ace I/saltan,Yes,8660,q-and-a
Active (Reason NOT on ARVs),z_deprecated Treatment never started - patient refused,1109,q-and-a
Active (Reason NOT on ARVs),Other non-coded,1110,q-and-a
Active (Reason NOT on ARVs),Patient not on ARV reason,1111,q-and-a
Active (Reason NOT on ARVs),Clinical status indicates that it is not necessary,1112,q-and-a
Active (Reason NOT on ARVs),ARV education done,1113,q-and-a
Activity while experiencing shortness of breath,Shortness of breath at rest,4344,q-and-a
Activity while experiencing shortness of breath,Shortness of breath with light activity,4345,q-and-a
Activity while experiencing shortness of breath,Shortness of breath while walking up hill,4346,q-and-a
Adherence counseling (coded),Yes,1,q-and-a
Adherence counseling (coded),No,2,q-and-a
Adherence session number,First,1,q-and-a
Adherence session number,Second,2,q-and-a
Adherence session number,Third,3,q-and-a
Adherence to taking medication,No,4334,q-and-a
Adherence to taking medication,Yes,4335,q-and-a
Adjust dose,Yes,1,q-and-a
Adjust dose,No,2,q-and-a
Adjust dose,Unknown,3,q-and-a
Adult who condition query,Kaposis sarcoma,537,q-and-a
Adult who condition query,HIV wasting syndrome (severe weight loss + persistent fever or severe weight loss + chronic diarrhoea),538,q-and-a
Adult who condition query,Pneumocystis pneumonia,539,q-and-a
Adult who condition query,"Respiratory tract infections, recurrent (sinusitis, tonsilitus, otitis media, pharyngitis)",540,q-and-a
Adult who condition query,"Diarrhoea, chronic (>1 month) unexplained",541,q-and-a
Adult who condition query,"Fever, persistent unexplained, intermittent or constant, >1 month",542,q-and-a
Adult who condition query,Serious bacterial infections,543,q-and-a
Adult who condition query,"Cryptococcosis, extrapulmonary",544,q-and-a
Adult who condition query,Cryptosporidiosis,545,q-and-a
Adult who condition query,"Cytomegalovirus of an organ other than liver, spleen or lymph node",546,q-and-a
Adult who condition query,Lymphoma,547,q-and-a
Adult who condition query,"Mycobacterium tuberculosis, extrapulmonary",548,q-and-a
Adult who condition query,"Atypical mycobacteriosis, disseminated or lung",549,q-and-a
Adult who condition query,Progressive multifocal leukoencephalopathy,550,q-and-a
Adult who condition query,Asymptomatic HIV infection,551,q-and-a
Adult who condition query,Persistent generalized lymphadenopathy,552,q-and-a
Adult who condition query,Adult herpes zoster,553,q-and-a
Adult who condition query,"Minor mucocutaneous manifestations (seborrheic dermatitis, prurigo, fungal nail infections, recurrent oral ulcerations, angular chelitis)",554,q-and-a
Adult who condition query,"Moderate weight loss less than or equal to 10 percent, unexplained",555,q-and-a
Adult who condition query,Oral candidiasis,556,q-and-a
Adult who condition query,Oral hairy leukoplakia,557,q-and-a
Adult who condition query,Tuberculosis within year,558,q-and-a
Adult who condition query,Unintentional weight loss more than 10 percent of body weight in abscence of concurrent illness,559,q-and-a
Adult who condition query,"Candidiasis of oseophagus, trachea and bronchi or lungs",560,q-and-a
Adult who condition query,"Chronic herpes simplex infection (orolabial, gential / anorectal >1 month or visceral at any site)",561,q-and-a
Adult who condition query,Encephalopathy,562,q-and-a
Adult who condition query,Any disseminated endemic mycosis,563,q-and-a
Adult who condition query,Salmonella septicemia,564,q-and-a
Adult who condition query,"Acute necrotizing ulcerative stomatitis, gingivitis or periodontitis",3282,q-and-a
Adult who condition query,Invasive cancer of cervix,3283,q-and-a
Adult who condition query,Cerebral or B-cell non Hodgkin lymphoma,3284,q-and-a
Adult who condition query,Toxoplasmosis of the brain,3285,q-and-a
Adult who condition query,"Anaemia, unexplained < 8 g/dl",3286,q-and-a
Adult who condition query,Disseminated non-tuberculosis mycobacterial infection,3287,q-and-a
Adult who condition query,"Leishmaniasis, atypical disseminated",3288,q-and-a
Adult who condition query,Bedridden 50 percent of month,3289,q-and-a
Adult who condition query,Bedridden less than 50% of the month,3290,q-and-a
Adult who condition query,Ptb within the past two years,3329,q-and-a
Adult who condition query,"Bacterial pneumonia, severe recurrent",3873,q-and-a
Adverse effect,Anemia,1912,q-and-a
Adverse effect,Peripheral neuropathy,1913,q-and-a
Adverse effect,Skin rash,1914,q-and-a
Adverse effect,Hepatitis,1915,q-and-a
Adverse effect,"Rash, severe",1916,q-and-a
Adverse effect,Other non-coded,1917,q-and-a
Adverse effect,Jaundice,1918,q-and-a
Adverse effect,Anaphylaxis,1919,q-and-a
Adverse effect,Nausea,1920,q-and-a
Adverse effect,Angio-edema,1921,q-and-a
Adverse effect,Lipodystrophy,1922,q-and-a
Adverse effect,"Rash, minor",1923,q-and-a
Adverse effect,"Rash, moderate",1924,q-and-a
Adverse effect,Lactic acidosis,1925,q-and-a
Adverse effect,Nightmares,1926,q-and-a
Adverse effect,Vomiting,2546,q-and-a
Adverse effect,Joint pain,3173,q-and-a
Adverse effect,None,3197,q-and-a
Adverse effect medication,Rifampicin,855,q-and-a
Adverse effect medication,Isoniazid,856,q-and-a
Adverse effect medication,Ethambutol,857,q-and-a
Adverse effect medication,Zidovudine,858,q-and-a
Adverse effect medication,Lamivudine,859,q-and-a
Adverse effect medication,Didanosine,860,q-and-a
Adverse effect medication,Nevirapine,861,q-and-a
Adverse effect medication,Efavirenz,862,q-and-a
Adverse effect medication,Trimethoprim and sulfamethoxazole,1336,q-and-a
Adverse effect medication,Ibuprofen,1337,q-and-a
