"concept","member","sort weight","member type"
"6568ae16-977f-11e1-8993-905e29aff6c1","Prophylaxis started","0.0","concept-set"
"6568ae16-977f-11e1-8993-905e29aff6c1","Prophylaxis stopped","1.0","concept-set"
"6568ae16-977f-11e1-8993-905e29aff6c1","Date of treatment change","2.0","concept-set"
"6568b028-977f-11e1-8993-905e29aff6c1","Prophylaxis started","0.0","concept-set"
"6568b028-977f-11e1-8993-905e29aff6c1","Prophylaxis stopped","1.0","concept-set"
"6568b028-977f-11e1-8993-905e29aff6c1","Date of treatment change","2.0","concept-set"
"Abdominal exam construct","Abdominal exam findings","0.0","concept-set"
"Abdominal exam construct","Physical system comment","1.0","concept-set"
"Abdominal exam construct","Splenomegaly presence below coastal margin in midclavicular line","2.0","concept-set"
"Abdominal exam construct","Hepatomegaly presence below coastal margin in midclavicular line","3.0","concept-set"
"Ability to work construct","Are you presently physically able to work","0.0","concept-set"
"Ability to work construct","If not physically able to work, why not?","1.0","concept-set"
"Ability to work construct","If you do work, do you receive cash for your work","2.0","concept-set"
"Ability to work construct","If you have an employer, who is it","3.0","concept-set"
"Abortion complications","Hemorrhage","0.0","concept-set"
"Abortion complications","Sepsis","1.0","concept-set"
"Accident, motor vehicle","Truncal","0.0","concept-set"
"Accident, motor vehicle","Limb","1.0","concept-set"
"Accident, motor vehicle","Head","2.0","concept-set"
"Ace inhibitor construct","Increase patient dose","0.0","concept-set"
"Ace inhibitor construct","Dose cannot be increased","1.0","concept-set"
"Ace inhibitor construct","Dose change reason other, non coded","2.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Cardiac medication","0.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Dose in milligrams","1.0","concept-set"
"Active cardiac medication at beginning of encounter construct","General drug frequency","2.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Drug frequency coded","3.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Dose changed at last encounter","4.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Adherence to taking medication","5.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Number of missed doses in the past month","6.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Reason for taking medicine incorrectly or missing doses","7.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Other medication 1","8.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Other medication 2","9.0","concept-set"
"Active cardiac medication at beginning of encounter construct","Side effects comments","10.0","concept-set"
"Active medicine prescribed while hospitalized","Cardiac medication","0.0","concept-set"
"Active medicine prescribed while hospitalized","Dose in milligrams","1.0","concept-set"
"Active medicine prescribed while hospitalized","Drug frequency coded","2.0","concept-set"
"Active medicine prescribed while hospitalized","Adherence to taking medication","3.0","concept-set"
