Uuid,Void/Retire,Name,Strength,Concept drug,Concept dosage form
1891fc32-a89d-11df-bba5-000c297f1161,,Triomune-30,1tab(s),654a2bc6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892042a-a89d-11df-bba5-000c297f1161,,Triomune-40,1tab(s),654a2bc6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189205ce-a89d-11df-bba5-000c297f1161,,d4T (Stavudine 30mg tablet),30mg,65491e02-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892074a-a89d-11df-bba5-000c297f1161,,d4T (Stavudine 40mg tablet),40mg,65491e02-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892a592-a89d-11df-bba5-000c297f1161,,DDI (Didanosine 125mg tablet),125mg,654a3012-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892a754-a89d-11df-bba5-000c297f1161,,DDI (Didanosine 200mg tablet),200mg,654a3012-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892a8d0-a89d-11df-bba5-000c297f1161,,EFV (Efavirenz 600mg tablet),600mg,65492686-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892aa4c-a89d-11df-bba5-000c297f1161,,TDF (Tenofavir 300 mg tablet),300mg,654a3684-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892abc8-a89d-11df-bba5-000c297f1161,,S (Streptomycin 1gm vial),1g,65484176-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
1892b096-a89d-11df-bba5-000c297f1161,,RIF or R (Rifampin 300mg tablet),300mg,654a0fd8-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892b212-a89d-11df-bba5-000c297f1161,,"RHZ (Rifampin, Isoniazid and Pyrazinamide tablet)",1tab(s),654a1190-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892b38e-a89d-11df-bba5-000c297f1161,,"RHEZ (RIF, INH, Ethambutol and Pyrazinamide tab)",1tab(s),6557b32c-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892b50a-a89d-11df-bba5-000c297f1161,,RH (Rifampin and Isoniazid tablet),1tab(s),655852b4-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892b686-a89d-11df-bba5-000c297f1161,,Z (Pyrazinamide 500mg tablet),500mg,656e0c08-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892b7f8-a89d-11df-bba5-000c297f1161,,NVP (Nevirapine susp 10mg/mL in 100mL bottle),10ml,6549247e-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
1892b974-a89d-11df-bba5-000c297f1161,,NVP (Nevirapine 200 mg tablet),200mg,6549247e-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892ba5a-a89d-11df-bba5-000c297f1161,,LPV/r (cold; Lopanavir and Ritonavir 166 mg tab),166mg,654a2dec-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892bb36-a89d-11df-bba5-000c297f1161,,INH or H (Isoniazid 100mg tablet),100mg,65498bbc-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892bc1c-a89d-11df-bba5-000c297f1161,,FCZ (Fluconazole 150mg tablet),150mg,6549f2dc-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1892bcf8-a89d-11df-bba5-000c297f1161,,Fluconazole (200mg tablet),200mg,6549f2dc-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
