UUID,Void/Retire,Name,Description,Parent,Attribute|Location Code,City/Village,County/District,State/Province,Address 3
3093e2ab-0eee-4bc2-aacf-8d51d77c7698,0,Binje Outreach Clinic,Outreach Clinics with ART services,,,,,,
0d4166a0-5ab4-11e0-870c-9f6107fee88e,0,Chifunga HC,Chifunga Health Center,,CFGA,,,,
fd428b07-c723-4f09-b9b3-b2dae6c6a700,0,Chifunga HTC Outreach,Chifunga outreach activities.,,,,Mlauli,Neno,
976dcd06-c40e-4e2e-a0de-35a54c7a52ef,0,Dambe Clinic,,,DAM,Dambe,Dambe,Neno,
794df119-65e6-4098-8e12-851063267217,0,Felemu Outreach Clinic,Felemu village from Chifunga,,,,,,
d22f6ae0-3398-4f96-a0f8-a2435eedfe32,0,FPAM,,Neno District Hospital,,Chifenthe,Dambe,Neno,
6c090943-f5a3-47ed-b16a-b69cc5750a49,0,Golden Outreach Clinic,Outreach with ART services,Neno District Hospital,,,,Neno,
0d417c9e-5ab4-11e0-870c-9f6107fee88e,0,HIV Clinician Station,Generic HIV Clinician Station,,,,,,
0d417b0e-5ab4-11e0-870c-9f6107fee88e,0,HIV Nurse Station,Generic HIV Nurse Station,,,,,,
0d417974-5ab4-11e0-870c-9f6107fee88e,0,HIV Reception,Generic HIV Reception,,,,,,
6368bada-6e65-44dc-a093-c3a17a0f40f8,0,Kasamba Outreach Clinic,HIV Outreach Clinic,,,,,,
0d415ec6-5ab4-11e0-870c-9f6107fee88e,0,KCH,Kamuzu Central Hospital,,,,,,
0d417000-5ab4-11e0-870c-9f6107fee88e,0,Kuntumanji,Traditional authority,,,,,,
0d417e38-5ab4-11e0-870c-9f6107fee88e,0,Ligowe HC,Ligowe Health Center,,LGWE,Ligowe,,Neno,
f1306c67-dff2-484a-94ba-5544fdf37e57,0,Ligowe HTC Outreach,Ligowe outreach activities.,,,,,Neno,
0d416376-5ab4-11e0-870c-9f6107fee88e,0,Lisungwi Community Hospital,Lisungwi Community Hospital (ID=754),,LSI,,,,
3e4dca9f-2619-4de2-a8a2-30ec5cafff16,0,Lisungwi HTC Outreach,Lisungwi outreach activities.,,,,Symon,Neno,
dc656bcb-6146-4d7b-9c0f-ef715922d085,0,Lisungwi inward patients,Lisungwi Health Centre,,,,,,
a95ce8a5-8f64-4215-909d-2a0f0b6659ee,0,Luwani Prison,Luwani Prison,,,,,,
0d416506-5ab4-11e0-870c-9f6107fee88e,0,Luwani RHC,Luwani Rural Health Center,,LWAN,Luwani,,,
0d414eae-5ab4-11e0-870c-9f6107fee88e,0,Magaleta HC,Magaleta Health Center (ID=751),,MGT,Magaleta,,Neno,
ecc9878f-5bfa-4ebb-b3af-f19410ab1309,0,Magaleta Outreach Clinic,HIV Outreach Clinic,,,,,Neno,
0d41539a-5ab4-11e0-870c-9f6107fee88e,0,Malawi,The Country of Malawi,,,,,,
0d415200-5ab4-11e0-870c-9f6107fee88e,0,Matandani Rural Health Center,(ID=753),,MTDN,Matandani,,Neno,
0d416b3c-5ab4-11e0-870c-9f6107fee88e,0,Matope HC,Matope Health Center,,MTE,,,,
0d4182e8-5ab4-11e0-870c-9f6107fee88e,0,Midzemba HC,Midzemba HC,,,,,,
c95df7e5-ca03-4971-bb87-bd0bd5bd2462,0,Midzemba HTC Outreach,HTC Outreach near Midzemba.,,,,Symon,Neno,
0d416042-5ab4-11e0-870c-9f6107fee88e,0,Mlambe Hospital,Mlambe Hospital in Lunzu,,,,,,
0d4161dc-5ab4-11e0-870c-9f6107fee88e,0,Mulanje District Hospital,Mulanje District Hospital,,,,,,
0d415b9c-5ab4-11e0-870c-9f6107fee88e,0,Mwanza District Hospital,Mwanza District Hospital,,,,,,
0d414ce2-5ab4-11e0-870c-9f6107fee88e,0,Neno District Hospital,"Neno District Hospital, formerly Neno Rural Hospital (ID=750)",,NNO,Neno,,Neno,NNO
83784d9a-3e96-485d-8f1f-64b2815b0efc,0,Neno District Hospital HTC Outreach,Neno District Hospital outreach activities.,,,,,Neno,
985193ce-761a-4011-9d3e-24ddf61eba0f,0,Neno inward patients,Neno District Hospital,,,,,,
0d41505c-5ab4-11e0-870c-9f6107fee88e,0,Neno Mission HC,Neno Mission Health Center (ID=752),,NOP,Neno Mission,,Neno,
ca86238f-eab4-4c55-b244-2a8c82e86ecd,0,Neno Parish Outreach Clinic,HIV Outreach Clinic,,NOP,,,Neno,
0d4169b6-5ab4-11e0-870c-9f6107fee88e,0,Nkhula Falls RHC,Nkhula Falls Rural Health Center,,NKA,,,,
0d416830-5ab4-11e0-870c-9f6107fee88e,0,Nsambe HC,Nsambe Health Center,,NSM,,,,
22e76417-b6d9-41a2-84ee-bb07175d2ddf,0,Ntaja Outreach Clinic,HIV Outreach Clinic,Neno District Hospital,,,,Neno,
0d415a02-5ab4-11e0-870c-9f6107fee88e,0,Outpatient,Outpatient Department at Neno District Hospital (ID=750),,,,,,
0d415d36-5ab4-11e0-870c-9f6107fee88e,0,QECH,Queen Elizabeth Central Hospital,,,,,,
0d41552a-5ab4-11e0-870c-9f6107fee88e,0,Registration,Registration desk at Neno Rural Hospital (ID=750),,,,,,
0d418464-5ab4-11e0-870c-9f6107fee88e,0,TB Reception,Generic TB reception,,,,,,
0d4185ea-5ab4-11e0-870c-9f6107fee88e,0,TB Sputum Submission Station,A generic TB sputum submission station,,,,,,
3b6e3a6a-dd26-4484-beda-a62fe7a75f72,0,Tedzani Clinic,,Neno District Hospital,,,,Blantyre,
0d416cc2-5ab4-11e0-870c-9f6107fee88e,0,Thyollo District Hospital,Thyollo District Hospital,,,,,,
8d6c993e-c2cc-11de-8d13-0010c6dffd0f,0,Unknown Location,,,,,,,
0d4156d8-5ab4-11e0-870c-9f6107fee88e,0,Vitals,Vitals recorded at Neno District Hospital (ID=750),,,,,,
0d417fd2-5ab4-11e0-870c-9f6107fee88e,0,Zalewa HC,Zalewa Health Center,,ZLA,,,,
80e2a374-b871-42bb-8afd-2cd740e93c6c,0,Zalewa Outreach Clinic,HIV Outreach Clinic,,,,,Neno,
