UUID,Void/Retire,Name,Description
43402e52-d55d-11e0-9ad2-dce5e6ce584c,0,Workstation Location,
7e7d5e03-6306-47f6-abfb-66e5d0e5df3b,0,Upper Neno,Locations are in the Upper Neno catchment.
855c9ab3-3cd6-42c1-9430-38546a0e51c2,0,Lower Neno,Locations are in the Lower Neno catchment.
a7f61027-d64d-4555-bdb1-d510e719fdbc,0,HIV,HIV Care Clinic Locations
50df77f9-7c8b-4c23-a552-82814195c56c,0,Static HIV,HIV Care Clinic Location (static clinic that is not outreach).
b8bbf83e-645f-451f-8efe-a0db56f09676,0,Login Location,"When a user logs in and chooses a session location, they may only choose one with this tag"
ed4b1503-3235-4ba6-8e7b-03786b0a744c,0,Outreach HIV,HIV outreach site.
0967d73d-f3c9-492b-abed-356478610a94,0,Visit Location,Visits are only allowed to happen at locations tagged with this location tag or at locations that descend from a location tagged with this tag.
f5b9737b-14d5-402b-8475-dd558808e172,0,Admission Location,Patients may only be admitted to inpatient care in a location with this tag
9783aba6-df7b-4969-be6e-1e03e7a08965,0,Transfer Location,Patients may only be transfer to inpatient care in a location with this tag
c42b7bc3-b34d-4b8f-9796-09208f9dfd72,0,Dispensing Location,A location where a pharmacist or pharmacist aide can dispensed medication.
7ce6075b-02ad-11e6-8c93-e82aea237783,0,Chronic Care Location,Location where patients in Chronic Care program are seen.
8c572a12-5379-11e6-8bd4-54ee7513a7ff,0,TRACE PHASE 1,Indicates that this location is TRACE phase 1
56595574-EF31-4731-B3BF-776922480EC3,0,Health Facility,Locations designated as Health Facilities.
7ae7db90-a601-41e7-bb09-fcdbbfbeaa87,0,Yendanafe Catchment,Locations designated as Health Facilities.
