Uuid,Name,Description,Required,Format,Format description,Validator,Location behavior,Uniqueness behavior
66784d84-977f-11e1-8993-905e29aff6c1,ARV Number,Unique ID Number for Patients in ARV Treatment Program,0,,,,REQUIRED,
11a76c3e-1db8-4d16-9252-9a18b5ed1843,Chronic Care Number,for Chronic Care,0,,,,REQUIRED,
667852ac-977f-11e1-8993-905e29aff6c1,Dummy ID,Dummy ID for test patients,0,,,,REQUIRED,
66786256-977f-11e1-8993-905e29aff6c1,HCC Number,HIV Care Clinic for Pre-ART patients and Exposed Children,0,,,,REQUIRED,
f51dfa3a-95de-4040-b4eb-52d2de718a74,IC3 Identifier,ID assigned to patients at IC3 clinic who have not be enrolled in a program,0,,,,REQUIRED,
70690634-6522-4552-ba66-43eda7c30217,IC3D Identifier,ID assigned to patients when enrolled in IC3D Study,0,,,,REQUIRED,
667857b6-977f-11e1-8993-905e29aff6c1,KS Number,Filing for KS Programme,0,,,,REQUIRED,
C9888967-8584-4F36-86B8-51AC368BC720,Nutrition Program Number,Number assigned to patient enrolled into the nutrition program.,0,,Ex. NNO 1234 NP,,REQUIRED,
f2b29f9b-69d0-4339-b1aa-55a511672558,Palliative Care Number,Number assigned to patient on palliative care.,0,,Ex. NNO 101 PC,,REQUIRED,
f7de1b97-013e-49ad-a596-4ada6ede1053,PDC Identifier,ID assigned to patients when enrolled in PDC,0,,,,REQUIRED,
F4319B47-4141-48DF-9F41-5CF7E6301EC6,TB program identifier,Identifier assigned to patient enrolled in the TB program.,0,,Ex. NNO 101 TB,,REQUIRED,
66785018-977f-11e1-8993-905e29aff6c1,VHW ID,Village Health Worker ID#,0,,,,REQUIRED,
e4a1a524-d557-11ea-87d0-0242ac130003,Yendanafe Identifier,ID assigned to patients when registering them from Yendanafe Application,0,,,,REQUIRED,
