Uuid,Name,Description,Format,Foreign uuid,Searchable
667f45ee-977f-11e1-8993-905e29aff6c1,Cell Phone Number,Person primary cell phone number,java.lang.String,,
4f07985c-88a5-4abd-aa0c-f3ec8324d8e7,Test Patient,Flag to describe if the patient was created for demonstration or testing purposes,java.lang.Boolean,,
8b56eac7-5c76-4b9c-8c6f-1deab8d3fc47,Unknown patient,Used to flag patients that cannot be identified during the check-in process,java.lang.String,,
8d871386-c2cc-11de-8d13-0010c6dffd0f,Race,Group of persons related by common descent or heredity,java.lang.String,,
8d8718c2-c2cc-11de-8d13-0010c6dffd0f,Birthplace,Location of persons birth,java.lang.String,,
8d871afc-c2cc-11de-8d13-0010c6dffd0f,Citizenship,Country of which this person is a member,java.lang.String,,
8d871d18-c2cc-11de-8d13-0010c6dffd0f,Mother's Name,First or last name of this person's mother,java.lang.String,,
8d871f2a-c2cc-11de-8d13-0010c6dffd0f,Civil Status,Marriage status of this person,org.openmrs.Concept,,
8d872150-c2cc-11de-8d13-0010c6dffd0f,Health District,District/region in which this patient' home health center resides,java.lang.String,,
8d87236c-c2cc-11de-8d13-0010c6dffd0f,Health Center,Specific Location of this person's home health center.,org.openmrs.Location,,
667f40ee-977f-11e1-8993-905e29aff6c1,Treatment Supporter,,java.lang.String,,
667f422e-977f-11e1-8993-905e29aff6c1,MDR-TB Patient Contact ID Number,Used by the mdrtb module to give non-patient contacts an ID number.,java.lang.String,,
667f436e-977f-11e1-8993-905e29aff6c1,Home Village,The person's home village or place of origin,org.openmrs.Location,,
667f44ae-977f-11e1-8993-905e29aff6c1,Mother's Maiden Name,The maiden name of the person's mother.,java.lang.String,,
667f472e-977f-11e1-8993-905e29aff6c1,Occupation,This is the current patient occupation,java.lang.String,,
667f486e-977f-11e1-8993-905e29aff6c1,Home Phone Number,"Person home phone number, usually fixed line phone number",java.lang.String,,
667f49ae-977f-11e1-8993-905e29aff6c1,Office Phone Number,Person office phone number. Usually fixed line phone number,java.lang.String,,
667f4af8-977f-11e1-8993-905e29aff6c1,Place Of Birth,Description for birth place for a client in Maternity,java.lang.String,,
667f4c38-977f-11e1-8993-905e29aff6c1,Ancestral Traditional Authority,T/A ,java.lang.String,,
667f4d78-977f-11e1-8993-905e29aff6c1,Current Place Of Residence,Place of stay,java.lang.String,,
667f4eae-977f-11e1-8993-905e29aff6c1,Landmark Or Plot Number,Landmark or plot number,java.lang.String,,
667f4ff8-977f-11e1-8993-905e29aff6c1,Agrees to phone text for TB therapy,This question asked at registration to ascertain if person agrees to be sent phone text messages for TB therapy,java.lang.String,,
667f5142-977f-11e1-8993-905e29aff6c1,Agrees to be visited at home for TB therapy,This asked at registration to ascertain if person agrees to home visit by HCW for TB therapy,java.lang.String,,
667f5282-977f-11e1-8993-905e29aff6c1,ART status at registration,ART status of this person at registration,org.openmrs.Concept,,
667f53cc-977f-11e1-8993-905e29aff6c1,NEXT OF KIN,A patient's next of kin,java.lang.String,,
667f550c-977f-11e1-8993-905e29aff6c1,NEXT OF KIN CONTACT NUMBER,A patient's next of kin contact number,java.lang.String,,
667f564c-977f-11e1-8993-905e29aff6c1,Source of referral,The source of referral for this person. Could be self. health facility etc,java.lang.String,,
667f578c-977f-11e1-8993-905e29aff6c1,Number of TB contacts,Number of people TB patient is in contact with within a household,java.lang.String,,
667f58d6-977f-11e1-8993-905e29aff6c1,EDUCATION LEVEL,Maternity required this field,java.lang.String,,
667f5a16-977f-11e1-8993-905e29aff6c1,Religion,Maternity required this field,java.lang.String,,
