Uuid,Privilege name,Description
cbbfac84-e94f-42a9-9925-6e99f7a8a1b9,View clinical data,View patient's clinical data
c85b767c-2695-102d-b4c2-001d929acb54,Add Concepts,Able to add new terms to the concept dictionary.
c85b7820-2695-102d-b4c2-001d929acb54,Add FormEntry Archive,Allows the user to add the formentry archive
c85b78f2-2695-102d-b4c2-001d929acb54,Add FormEntry Error,Allows a user to add a formentry error item
c85b79ce-2695-102d-b4c2-001d929acb54,Add FormEntry Queue,Allows user to add a queue item to database
c85b7a8c-2695-102d-b4c2-001d929acb54,Add Forms,Able to add new forms.
c85b8306-2695-102d-b4c2-001d929acb54,Analysis Shortcut,Shortcut to patient groups on homepage
c85b994a-2695-102d-b4c2-001d929acb54,Analyze,Work with patient groups
7df72753-36e8-480c-be32-8fbcffb0d80c,App: coreapps.systemAdministration,Run the System Administration app
46b91a2b-f7ac-4217-b49c-792b225a620b,CHW Management App,Allows access to the CHW Management App
c85b9a12-2695-102d-b4c2-001d929acb54,Data Import,Allows user to access Data Import pages/functions
c85b9c6a-2695-102d-b4c2-001d929acb54,Delete Concepts,Able to remove concepts from the dictionary.
c85b9df0-2695-102d-b4c2-001d929acb54,Delete FormEntry Archive,Allows the user to delete a formentry archive
c85b9ec2-2695-102d-b4c2-001d929acb54,Delete FormEntry Error,Allows a user to delete a formentry error item
c85b9f8a-2695-102d-b4c2-001d929acb54,Delete FormEntry Queue,Allows the user to delete formentry queue items
c85ba05c-2695-102d-b4c2-001d929acb54,Delete Forms,Able to remove forms from the system.
c85bab56-2695-102d-b4c2-001d929acb54,Edit Concepts,Able to change attributes of existing terms.
c85bafca-2695-102d-b4c2-001d929acb54,Edit FormEntry Archive,Allows the user to edit a formentry archive
c85bc424-2695-102d-b4c2-001d929acb54,Edit FormEntry Error,Allows a user to edit a formentry error item
c85bc500-2695-102d-b4c2-001d929acb54,Edit FormEntry Queue,Allows the user to edit the formentry queue
c85bc5c8-2695-102d-b4c2-001d929acb54,Edit Forms,Able to change preexisting forms.
34628ca2-15ef-4c01-8ccc-74063ad4159f,Enter Facility Data Reports,Allow users to fill out and view reports
c85bcf0a-2695-102d-b4c2-001d929acb54,Find Patient Shortcut,Show find-patient shortcut on homepage
0a2c34b5-a7ae-11f1-aff0-00155deb1000,Get Patient Program Attribute Types,Able to get patient program attribute types
816901b5-0821-4532-940e-ff7ab0c2ba0a,Get Provider Roles,Able to get Provider Roles
c51e9f93-f28c-47b4-a287-2a9d8a4ebe80,List Groovy Scripts,Allows user to view Groovy scripts which are saved.
7f311137-d696-4493-8b07-97ac152996f0,Manage Facility Data Reports,"Allows user to manage reports. (e.g. create, delete, etc)"
17f0bcc8-f941-46ed-a21a-ee8cc5aa1414,Manage Flags,"Allows user add, edit, and remove flags"
c85bd608-2695-102d-b4c2-001d929acb54,Manage Form Exports,Allows users to manage form exports
c85becb0-2695-102d-b4c2-001d929acb54,Manage Groups,"Able to add, edit, and delete groups"
e0ea5ee7-d443-45bb-b0a6-ec18122d6e21,Manage OWA,"Allows to configure OWA module, upload modules"
0a2c3c94-a7ae-11f1-aff0-00155deb1000,Manage Patient Program Attribute Types,Able to add/edit/retire patient program attribute types
c85bf372-2695-102d-b4c2-001d929acb54,Manage Patient Programs,Core Privilege
bc853c4d-2942-4e49-9657-917dd1bea42e,Manage Provider Roles,Able to add/edit/retire Provider Roles
26cc1ab6-e47d-45f9-80ac-324af35b3c65,Manage Rule Definitions,Allows creation and editing of user-defined rules
e8ea27cc-3296-47b8-a4c0-6b974c5253b4,Manage Synchronization,sync
6e61132a-a02f-4c1f-b518-c19864e7b05f,Manage Tokens,Allows registering and removal of tokens
5eee657a-da54-45c3-bc67-a35fe4241a7d,Manage Usage Statistics,Able to manage and configure usage statistics
6dbd2ba0-506a-43ad-b704-33f76e5bb724,Patient Dashboard - View Visits Section,Able to view the 'Visits' tab on the patient dashboard
b381a14a-8f97-4f73-80c9-f4ad648b0b3a,Patient Overview - View Patient Flags,Able to view the 'Patient Flags' portlet on the patient dashboard's overview tab
74766f96-b4c4-466e-adb1-3a5989f305f6,Provider Management - Admin,Allows access to admin pages of the provider management module
26412b83-486e-425e-b618-b5e6280e8db3,Provider Management API,Allows access to all provider management service and provider suggestion service API method
b2e1f8e8-da0a-423a-8055-36b08f9d4e14,Provider Management API - Read-only,Allows access to all provider management service and provider suggestion service API methods that are read-only
cf804935-3050-473f-8bd3-64b3bfe8eeee,Provider Management Dashboard - Edit Patients,Allows access to editing patient information on the provider management dashboard
d3cf8d36-e8de-4f49-ac80-a98a329c6b53,Provider Management Dashboard - Edit Providers,Allows access to editing provider information on the provider management dashboard
51926553-dd23-46d3-8204-34892ecfcdc7,Provider Management Dashboard - View Historical,Allows access to viewing historical patient (if user has view patients right) and supervisee information on the provider management dashboard
035e6bb1-1106-465d-be36-a3e46bf7ee42,Provider Management Dashboard - View Patients,Allows access to viewing patient information on the provider management dashboard
1cddd8f3-eeaf-43c9-b72f-b30377befcd1,Provider Management Dashboard - View Providers,Allows access to viewing provider information on the provider management dashboard
0a2c3d31-a7ae-11f1-aff0-00155deb1000,Purge Patient Program Attribute Types,Able to purge patient program attribute types
