Uuid,Void/Retire,Workflow,State concept,Initial,Terminal
66882650-977f-11e1-8993-905e29aff6c1,,${programWorkflow.chronicCareTreatmentStatus.uuid},${concept.onTreatment.uuid},true,
7c4d2e56-c8c2-11e8-9bc6-0242ac110001,,${programWorkflow.chronicCareTreatmentStatus.uuid},${concept.inAdvanceCare.uuid},true,
6688275e-977f-11e1-8993-905e29aff6c1,,${programWorkflow.chronicCareTreatmentStatus.uuid},${concept.transferredOut.uuid},,true
6688286c-977f-11e1-8993-905e29aff6c1,,${programWorkflow.chronicCareTreatmentStatus.uuid},${concept.patientDied.uuid},,true
6688297a-977f-11e1-8993-905e29aff6c1,,${programWorkflow.chronicCareTreatmentStatus.uuid},${concept.discharged.uuid},,true
3a4eb919-b942-4c9c-ba0e-defcebe5cd4b,,${programWorkflow.chronicCareTreatmentStatus.uuid},${concept.patientDefaulted.uuid},,true
dbe76d47-dbc4-4608-a578-97b6b62d9f63,,${programWorkflow.chronicCareTreatmentStatus.uuid},${concept.treatmentStopped.uuid},,true
C2B106C6-18B6-4342-B2E7-FAA0540E6DC2,,${programWorkflow.sickleCellDiseaseTreatment.uuid},${concept.onTreatment.uuid},true,
03A8A8DF-E95E-4875-B730-2D3CD86502EF,,${programWorkflow.sickleCellDiseaseTreatment.uuid},${concept.inAdvanceCare.uuid},true,
A3EA7AD8-FB32-4567-A19E-C3F6E9E33C7B,,${programWorkflow.sickleCellDiseaseTreatment.uuid},${concept.discharged.uuid},,
15072B28-46E9-412D-BCA4-3C96803C15AD,,${programWorkflow.sickleCellDiseaseTreatment.uuid},${concept.treatmentStopped.uuid},,
E850CEB4-B01B-47E0-AED2-4BAB1EE2A645,,${programWorkflow.sickleCellDiseaseTreatment.uuid},${concept.patientDefaulted.uuid},,
A843A2AE-FB7B-48B2-A5C2-73A82890D709,,${programWorkflow.sickleCellDiseaseTreatment.uuid},${concept.transferredOut.uuid},,
5E228F5D-BA90-4F25-9524-E79ABAEFA01F,,${programWorkflow.sickleCellDiseaseTreatment.uuid},${concept.patientDied.uuid},,true
908552d7-2bb3-4e4f-9ba1-ec22c2c3f2b6,,${programWorkflow.ckdTreatment.uuid},${concept.onTreatment.uuid},true,
c5ddd2d0-33f3-4d1e-8f7d-f58beec5ece9,,${programWorkflow.ckdTreatment.uuid},${concept.inAdvanceCare.uuid},true,
5a3d7225-f30c-4ce6-bea7-caaf3e0a550e,,${programWorkflow.ckdTreatment.uuid},${concept.discharged.uuid},,
5b167395-c51a-4f09-a403-8fd4ac7270bd,,${programWorkflow.ckdTreatment.uuid},${concept.treatmentStopped.uuid},,
718dfd2b-5c49-48f2-abb7-cdc389758220,,${programWorkflow.ckdTreatment.uuid},${concept.patientDefaulted.uuid},,
677d3760-e415-493e-85e5-bebe3d2df978,,${programWorkflow.ckdTreatment.uuid},${concept.transferredOut.uuid},,
9e7013d9-6a5d-43fa-bb5b-e176b14859ad,,${programWorkflow.ckdTreatment.uuid},${concept.patientDied.uuid},,true
3a9724e5-fc65-4a48-8d0b-2b1265106552,,${programWorkflow.chfTreatment.uuid},${concept.onTreatment.uuid},true,
b002c86b-e22c-484a-a9a5-a12543b4a1b1,,${programWorkflow.chfTreatment.uuid},${concept.inAdvanceCare.uuid},true,
e5686a3a-6097-425f-9c69-66cf07c8b1a0,,${programWorkflow.chfTreatment.uuid},${concept.discharged.uuid},,
5e7c2ac8-c715-4510-b128-6125cff88e57,,${programWorkflow.chfTreatment.uuid},${concept.treatmentStopped.uuid},,
721da796-d40c-4308-a259-6354f039e559,,${programWorkflow.chfTreatment.uuid},${concept.patientDefaulted.uuid},,
c22b137b-d495-4486-bd9b-5cc2f717d7f8,,${programWorkflow.chfTreatment.uuid},${concept.transferredOut.uuid},,
02f1ec53-4261-40f3-a400-7de6e22c2779,,${programWorkflow.chfTreatment.uuid},${concept.patientDied.uuid},,true
d5d2d3bf-9cca-4a1f-9c69-f7713ed8fff4,,${programWorkflow.diabetesHypertensionTreatment.uuid},${concept.onTreatment.uuid},true,
00be3c91-ecd2-482e-8c7a-7bdd49c997e7,,${programWorkflow.diabetesHypertensionTreatment.uuid},${concept.inAdvanceCare.uuid},true,
f06bb620-9c4f-4037-9248-71f6c2387523,,${programWorkflow.diabetesHypertensionTreatment.uuid},${concept.discharged.uuid},,
08a736da-99e5-4a25-b162-66e126974c9d,,${programWorkflow.diabetesHypertensionTreatment.uuid},${concept.treatmentStopped.uuid},,
40613a66-af05-4e4a-854d-6b3b76a5d12a,,${programWorkflow.diabetesHypertensionTreatment.uuid},${concept.patientDefaulted.uuid},,
e80bf1fd-fdf7-4226-9d17-891e10cc6c9c,,${programWorkflow.diabetesHypertensionTreatment.uuid},${concept.transferredOut.uuid},,
dcece218-948a-4d7f-aaac-7f20614522b3,,${programWorkflow.diabetesHypertensionTreatment.uuid},${concept.patientDied.uuid},,true
cfec993e-ae2f-4f16-bea5-4bd26752bc89,,${programWorkflow.ncdOtherTreatment.uuid},${concept.onTreatment.uuid},true,
05865dda-5934-4fcd-93eb-3d149edbdba0,,${programWorkflow.ncdOtherTreatment.uuid},${concept.inAdvanceCare.uuid},true,
09ba6d81-b8da-40f7-9a41-e9b6b6d22ffb,,${programWorkflow.ncdOtherTreatment.uuid},${concept.discharged.uuid},,
e48657b9-13fe-4b07-9708-be3bbe4d941e,,${programWorkflow.ncdOtherTreatment.uuid},${concept.treatmentStopped.uuid},,
4e03af0a-a5c0-4daf-8335-cf02c31a18db,,${programWorkflow.ncdOtherTreatment.uuid},${concept.patientDefaulted.uuid},,
b76af673-8f09-4465-a679-ddd67352b08b,,${programWorkflow.ncdOtherTreatment.uuid},${concept.transferredOut.uuid},,
08d594d2-9912-456b-90fc-f68bed2be908,,${programWorkflow.ncdOtherTreatment.uuid},${concept.patientDied.uuid},,true
7f2fc125-f9bc-4195-b879-3060a386468a,,${programWorkflow.asthmaTreatment.uuid},${concept.onTreatment.uuid},true,
8f395143-5f5a-4171-8e10-aef931e16bcf,,${programWorkflow.asthmaTreatment.uuid},${concept.inAdvanceCare.uuid},true,
bad2b98c-0741-476a-9024-9d3d7680c5b5,,${programWorkflow.asthmaTreatment.uuid},${concept.discharged.uuid},,
0a441fb0-f29d-46b2-a8b8-709adce58d0d,,${programWorkflow.asthmaTreatment.uuid},${concept.treatmentStopped.uuid},,
1b427904-f99b-4441-84d6-a9e421d5d6b2,,${programWorkflow.asthmaTreatment.uuid},${concept.patientDefaulted.uuid},,
51398403-593f-4df3-8dcf-5f467f60612b,,${programWorkflow.asthmaTreatment.uuid},${concept.transferredOut.uuid},,
f58f10a5-7ce4-4e52-b5fd-128531730d12,,${programWorkflow.asthmaTreatment.uuid},${concept.patientDied.uuid},,true
13490dc8-e5bd-11e7-80c1-9a214cf093ae,,${programWorkflow.palliativeCareClinicalStatus.uuid},${concept.discharged.uuid},,true
7c1f852e-5120-4371-8136-f64614f5dfc7,,${programWorkflow.palliativeCareClinicalStatus.uuid},${concept.onTreatment.uuid},true,
b35ed57c-7d54-4795-b678-f0947a135fda,,${programWorkflow.palliativeCareClinicalStatus.uuid},${concept.treatmentStopped.uuid},,true
e92017b9-45cf-41b9-bc69-a5b0232544c1,,${programWorkflow.palliativeCareClinicalStatus.uuid},${concept.transferredOut.uuid},,true
0f034ef4-3f70-4514-a020-5fb928fc3394,,${programWorkflow.palliativeCareClinicalStatus.uuid},${concept.patientDefaulted.uuid},,true
4bed1c08-1fe9-4972-8e7e-e93323c9f2c4,,${programWorkflow.palliativeCareClinicalStatus.uuid},${concept.patientDied.uuid},,true
${programWorkflow.mentalHealthTreatmentStatus.state.onTreatment.uuid},,${programWorkflow.mentalHealthTreatmentStatus.uuid},${concept.onTreatment.uuid},true,
${programWorkflow.mentalHealthTreatmentStatus.state.inAdvanceCare.uuid},,${programWorkflow.mentalHealthTreatmentStatus.uuid},${concept.inAdvanceCare.uuid},true,
${programWorkflow.mentalHealthTreatmentStatus.state.transferredOut.uuid},,${programWorkflow.mentalHealthTreatmentStatus.uuid},${concept.transferredOut.uuid},,
${programWorkflow.mentalHealthTreatmentStatus.state.patientDied.uuid},,${programWorkflow.mentalHealthTreatmentStatus.uuid},${concept.patientDied.uuid},,true
${programWorkflow.mentalHealthTreatmentStatus.state.discharged.uuid},,${programWorkflow.mentalHealthTreatmentStatus.uuid},${concept.discharged.uuid},,
${programWorkflow.mentalHealthTreatmentStatus.state.patientDefaulted.uuid},,${programWorkflow.mentalHealthTreatmentStatus.uuid},${concept.patientDefaulted.uuid},,
${programWorkflow.mentalHealthTreatmentStatus.state.treatmentStopped.uuid},,${programWorkflow.mentalHealthTreatmentStatus.uuid},${concept.treatmentStopped.uuid},,
${programWorkflow.epilepsyTreatmentStatus.state.onTreatment.uuid},,${programWorkflow.epilepsyTreatmentStatus.uuid},${concept.onTreatment.uuid},true,
${programWorkflow.epilepsyTreatmentStatus.state.inAdvanceCare.uuid},,${programWorkflow.epilepsyTreatmentStatus.uuid},${concept.inAdvanceCare.uuid},true,
${programWorkflow.epilepsyTreatmentStatus.state.transferredOut.uuid},,${programWorkflow.epilepsyTreatmentStatus.uuid},${concept.transferredOut.uuid},,
${programWorkflow.epilepsyTreatmentStatus.state.patientDied.uuid},,${programWorkflow.epilepsyTreatmentStatus.uuid},${concept.patientDied.uuid},,true
${programWorkflow.epilepsyTreatmentStatus.state.discharged.uuid},,${programWorkflow.epilepsyTreatmentStatus.uuid},${concept.discharged.uuid},,
${programWorkflow.epilepsyTreatmentStatus.state.patientDefaulted.uuid},,${programWorkflow.epilepsyTreatmentStatus.uuid},${concept.patientDefaulted.uuid},,
${programWorkflow.epilepsyTreatmentStatus.state.treatmentStopped.uuid},,${programWorkflow.epilepsyTreatmentStatus.uuid},${concept.treatmentStopped.uuid},,
b84735a5-82ae-4e3b-87db-250c43113977,,${programWorkflow.pdcTreatmentStatus.uuid},${concept.onTreatment.uuid},true,
28f67846-3204-4dc5-9c7f-043acc3e4b6c,,${programWorkflow.pdcTreatmentStatus.uuid},${concept.inAdvanceCare.uuid},true,
4b2027c3-f6a1-4cdd-81c3-a6c2068ef9a9,,${programWorkflow.pdcTreatmentStatus.uuid},${concept.transferredOut.uuid},,true
7451d3db-2400-4d38-b981-133dabf1558e,,${programWorkflow.pdcTreatmentStatus.uuid},${concept.patientDied.uuid},,true
38c0cc2f-eeda-4bf3-8496-4bb11736021e,,${programWorkflow.pdcTreatmentStatus.uuid},${concept.discharged.uuid},,true
49853073-c864-4421-8ba4-41bb743107bd,,${programWorkflow.pdcTreatmentStatus.uuid},${concept.patientDefaulted.uuid},,true
4c03e13a-4372-42f5-bbb1-ac0bf77c233b,,${programWorkflow.pdcTreatmentStatus.uuid},${concept.treatmentStopped.uuid},,true
4F148482-8B25-4ACD-A23C-B2A1D4701C2D,,${programWorkflow.nutritionProgramStatus.uuid},${concept.onTreatment.uuid},true,
228C3CE4-3685-459C-ABA3-41BAD3DED1D7,,${programWorkflow.nutritionProgramStatus.uuid},${concept.transferredOut.uuid},,true
51E67592-5751-491B-8DA5-D5737D320AC5,,${programWorkflow.nutritionProgramStatus.uuid},${concept.patientDied.uuid},,true
7988D58A-94B1-4E5F-8891-300F40D50D5B,,${programWorkflow.nutritionProgramStatus.uuid},${concept.discharged.uuid},,true
9144608D-BE07-42E0-B9C3-7BF7B2E70B4B,,${programWorkflow.nutritionProgramStatus.uuid},${concept.patientDefaulted.uuid},,true
B633E826-943D-427F-BEC9-C19DBB31DAAE,,${programWorkflow.nutritionProgramStatus.uuid},${concept.treatmentStopped.uuid},,true
35AF01AE-AAC7-4F9B-A9A1-0EFDEB84AD5B,,${programWorkflow.nutritionProgramStatus.uuid},960B1212-C7A6-4247-8176-84DC462361BB,true,
F179C6EA-6AF7-4F66-8587-AFE23521400C,,${programWorkflow.teenClubProgramStatus.uuid},7602D441-4A44-41A9-AA49-A59853AEDC65,true,
3E9BB98B-6BB0-431D-BCD5-B3E277922C04,,${programWorkflow.teenClubProgramStatus.uuid},C874F67C-7C3C-4BAE-93CE-E3B8FFABF496,true,
BDAF0BE3-5135-423E-B22B-4A87DE3C5C4A,,${programWorkflow.teenClubProgramStatus.uuid},${concept.transferredOut.uuid},,true
3700B846-6F87-454A-AB1C-1EB19BF0D48B,,${programWorkflow.teenClubProgramStatus.uuid},${concept.patientDied.uuid},,true
11DFAE63-7185-452B-9BE4-E0773AC91D34,,${programWorkflow.teenClubProgramStatus.uuid},${concept.patientDefaulted.uuid},,true
051AB431-5F98-4351-A541-9EFE0829AE7C,,${programWorkflow.teenClubProgramStatus.uuid},77FF0F7E-ECEF-4D32-AE1A-7DD35F212EA4,,true
BFB0D25A-96C7-44EB-B58A-8CA6DCDE36D8,,${programWorkflow.teenClubProgramStatus.uuid},0EC11643-6EEB-4EBE-BF4C-136FD8AC6B89,,true
E6C1B44A-8B02-4D47-944D-09A2E94D61F3,,${programWorkflow.teenClubProgramStatus.uuid},539F6CAC-DDCD-4F7D-BB02-4ADEE912CF95,,true
C7B0ACA9-1EBA-4220-BCFC-14D0C9DA24BF,,${programWorkflow.tbProgramWorkflowStatus.uuid},655b6256-977f-11e1-8993-905e29aff6c1,,
7EA302F6-7D2F-4969-BA01-B55E762CDEA5,,${programWorkflow.tbProgramWorkflowStatus.uuid},4DB1A692-386A-485B-B007-7B8F7F0C866F,,
4FEC03C0-A8C4-4709-8F03-88801A5EB9DF,,${programWorkflow.tbProgramWorkflowStatus.uuid},0848CF92-3AE1-4ADB-BC60-FF4B7575ED90,,
5ED5276E-808D-4670-8A86-43E020D886A7,,${programWorkflow.tbProgramWorkflowStatus.uuid},92964825-6952-407e-8331-8bbd0df7ef5c,,
F2BF7C70-4C04-43A0-A3F9-3DDC53FD55CF,,${programWorkflow.tbProgramWorkflowStatus.uuid},668FB2FB-084E-48C6-8950-9018B422462F,,
5088F779-AD8D-4EEF-A504-9B5C2D96ED62,,${programWorkflow.tbProgramWorkflowStatus.uuid},${concept.onTreatment.uuid},true,
77DCD910-2E24-4ECD-B71F-EBCA67F02478,,${programWorkflow.tbProgramWorkflowStatus.uuid},CCD8059E-968D-42D2-A7E0-DBC6B2FA9BE4,true,
B0EE543D-42D5-48BC-8D20-3FF6AF93FC9B,,${programWorkflow.tbProgramWorkflowStatus.uuid},${concept.patientDied.uuid},,true
